#######################################
# J. League Division 1 2013 Teams


# 18 teams

Key,       Name
niigata,   Albirex Niigata
kashima,   Kashima Antlers
omiya,     Omiya Ardija
cosaka,    Cerezo Osaka
yokohamafm, Yokohama F. Marinos
kawasaki,  Kawasaki Frontale
nagoya,    Nagoya Grampus
iwata,     Júbilo Iwata
oita,      Oita Trinita
urawa,     Urawa Red Diamonds
kashiwa,   Kashiwa Reysol
shimizu,   Shimizu S-Pulse
tosu,      Sagan Tosu
hiroshima, Sanfrecce Hiroshima
shonan,    Shonan Bellmare
fctokyo,   FC Tokyo
sendai,    Vegalta Sendai
kofu,      Ventforet Kofu
