
## Misc

wolfurt,       FC Wolfurt,            Vorarlberg Liga,  WOL
schwaz,        SC Schwaz,             Tirol Liga,       SCH
reutte,        SV Reutte,             Tirol Liga,       REU
spittal,       SV Spittal/Drau,       Kärntner Liga,    SPI
sak,           SAK 1914,              Salzburger Liga,  SAK
dsc,           Deutschlandsberger SC, Landesliga/Stmk., DSC
micheldorf,    SV Micheldorf,         OÖ Liga,          MIC
badvoeslau,    ASK Bad Vöslau,        Landesliga/NÖ,    VOE
gaflenz,       SV Gaflenz,            Landesliga/NÖ,    GAF
ardagger,      Ardagger SCU,          Landesliga/NÖ,    ARD
rohrendorf,    SC Rohrendorf,         2. Landesliga West/NÖ, ROH
heiligenkreuz, SV Heiligenkreuz,      2. Liga Süd/NÖ,   HEI
viktoria,      Wiener Viktoria|SC Wiener Viktoria,       Wiener Stadtliga, VIK
salzburgii,    FC RB Juniors Salzburg|FC Red Bull Salzburg II
