

### Regional Liga West

hard,     FC Hard,               Regionalliga West/Vbg.,  HAR
bregenz,  SC Bregenz,            Regionalliga West/Vbg.,  BRE
dornbirn, FC Dornbirn 1913|FC Dornbirn,      Regionalliga West/Vbg.,  DOR
kufstein, FC Kufstein,           Regionalliga West/Tirol, KUF
wattens,  WSG Wattens,           Regionalliga West/Tirol, WAT
austrias, SV Austria Salzburg,   Regionalliga West/Sbg.,  AUS
pinzgau,  FC Pinzgau Saalfelden, Regionalliga West/Sbg.,  PIN
stjohann, TSV St. Johann,        Regionalliga West/Sbg.,  STJ


### Regional Liga Mitte

vsv ,          Villacher SV,           Regionalliga Mitte/Ktn., VSV
klagenfurt,    SAK Celovec/Klagenfurt, Regionalliga Mitte/Ktn., CEL
austriak,      SK Austria Klagenfurt|SG Austria Klagenfurt,  Regionalliga Mitte/Ktn., KLA
kalsdorf,      SC Kalsdorf,            Regionalliga Mitte/Stmk., KAL
gratkorn,      FC Gratkorn,            Regionalliga Mitte/Stmk., GRA
allerheiligen, SV Allerheiligen|USV Allerheiligen,       Regionalliga Mitte/Stmk., ALL
leoben,        DSV Leoben,             Regionalliga Mitte/Stmk., LEO
gak,           Grazer AK,              Regionalliga Mitte/Stmk., GAK
pasching,      FC Pasching,            Regionalliga Mitte/OÖ,   PAS
voecklamarkt,  Vöcklamarkt,            Regionalliga Mitte/OÖ,  VOE
stflorian,     St. Florian|Union St. Florian,            Regionalliga Mitte/OÖ,  STF
wallern,       Wallern,                Regionalliga Mitte/OÖ,  WAL
lask,          LASK Linz,              Regionalliga Mitte/OÖ,  LAS


## Regional Liga Ost

sollenau,    1. SC Sollenau|SC Sollenau,       Regionalliga Ost/OÖ,    SOL
amstetten,   SKU Amstetten,        Regionalliga Ost/NÖ,    AMS
retz,        SV Retz|SC Retz,              Regionalliga Ost/NÖ,    RET   # todo/fix: remove SC Retz? - original name is ??
fac ,        FAC Team für Wien,    Regionalliga Ost/Wien,  FAC
schwechat,   SV Schwechat,         Regionalliga Ost/Wien,  SCH
wienersk,    Wiener SK|Wiener Sportklub,      Regionalliga Ost/Wien,  WIE
ostbahn,     SC Ostbahn XI,        Regionalliga Ost/Wien,  OST
oberwart,    SV Oberwart,          Regionalliga Ost/Bgld., OBE
parndorf,    SC/ESV Parndorf 1919|SC-ESV Parndorf 1919, Regionalliga Ost/Bgld., PAR
stegersbach, SV Stegersbach,       Regionalliga Ost/Bgld., STE
