#################################################
#
# Campeonato Brasileiro Série A | Brasileirão
#
# see:
# pt.wikipedia.org/wiki/Campeonato_Brasileiro_de_Futebol_de_2013_-_Série_A
#
# official -> www.cbf.com.br/competicoes/campeonato-brasileiro
#
# 20 teams

#### Bahia (BA)
bahia, 					Bahia|EC Bahia|Esporte Clube Bahia, 													BAI, city:salvador

#### Goiás (GO)
goias, 					Goiás|Goiás EC|Goiás Esporte Clube, 													GOI, city:goiania

#### Paraná (PR)
atletico-pr, 		Atlético Paranaense|Atlético PR|Clube Atlético Paranaense, 		CAP, city:curitiba
coritiba, 			Coritiba|Coritiba FC|Coritiba Football Club, 									CTB, city:curitiba

#### Pernambuco (PE)
nautico,     		Náutico|Náutico PE|Clube Náutico Capibaribe, 									NAU, city:recife
vitoria, 				Vitória|EC Vitória|Esporte Clube Vitória, 										VIT, city:salvador

#### Rio Grande do Sul (RS)
gremio, 				Grêmio|Grêmio RS|Grêmio Foot-Ball Porto Alegrense, 						GRE, city:portoalegre
inter-rs,				Internacional|Internacional RS|Sport Club Internacional, 			INT, city:portoalegre

#### Santa Catarina (SC)
criciuma, 			Criciúma|Criciúma EC|Criciúma Esporte Clube, 									CRI, city:criciuma

#### state Minas Gerais (MG) 
atletico-mg,		Atlético Mineiro|Atlético MG|Clube Atlético Mineiro, 					CAM, city:belohorizonte
cruzeiro, 			Cruzeiro|Cruzeiro MG|Cruzeiro Esporte Clube, 									CRU, city:belohorizonte

#### state Rio de Janeiro (RJ)
botafogo,    		Botafogo|Botafogo RJ|Botafogo de Futebol e Regatas, 					BOT, city:riodejaneiro
flamengo,    		Flamengo|Flamengo RJ|Clube de Regatas do Flamengo, 						FLA, city:riodejaneiro
fluminense,  		Fluminense|Fluminense RJ|Fluminense Football Club, 						FLU, city:riodejaneiro
vascodagama, 		Vasco|Vasco RJ|Club de Regatas Vasco da Gama, 								VAS, city:riodejaneiro

#### state São Paulo (SP)
corinthians,  	Corinthians|Corinthians SP|Sport Club Corinthians Paulista, 	COR, city:saopaulo
pontepreta, 		Ponte Preta|Associação Atlética Ponte Preta, 									PON, city:campinas
portuguesa,   	Portuguesa|Portuguesa SP|Associação Portuguesa de Desportos,	POR, city:saopaulo
santos,     		Santos|Santos FC|Santos Futebol Clube, 												SAN, city:santos
saopaulo,     	São Paulo|São Paulo FC|São Paulo SP|São Paulo Futebol Clube, 	SAO, city:saopaulo

