#########################
# Belgium (BEL), be

Key,              Name
anderlecht,       RSC Anderlecht
brugge,           Club Brugge
cerclebrugge,     Cercle Brugge KSV
oostende,         KV Oostende
zultewaregem,     SV Zulte Waregem
kortrijk,         KV Kortrijk
gent,             KAA Gent
lokeren,          KSC Lokeren OV
waaslandbeveren,  Waasland-Beveren
westerlo,         KVC Westerlo
mechelen,         KV Mechelen
genk,             KRC Genk
sinttruiden,      K. Sint-Truidense VV
leuven,           OH Leuven
standardliege,    R. Standard de Liège
charleroi,        R. Charleroi SC
mouscronperuwelz, R. Mouscron-Péruwelz
