##############################
# Bulgaria (BUL), bg

Key,              Name
levskisofia,      PFC Levski Sofia
slaviasofia,      PFC Slavia Sofia
cskasofia,        PFC CSKA Sofia
lokomotivsofia,   PFC Lokomotiv Sofia
botevplovdiv,     PFC Botev Plovdiv
lokomotivplovdiv, PFC Lokomotiv Plovdiv
litexlovech,      PFC Litex Lovech
chernomore,       PFC Cherno More Varna
ludogorets,       PFC Ludogorets Razgrad
beroe,            PFC Beroe Stara Zagora
montana,          PFC Montana
blagoevgrad,      FC Pirin Blagoevgrad
    
