##############################
# Czech Republic (CZE), cz

Key,           Name
spartapraha,   Sparta Praha
slaviapraha,   Slavia Praha
duklapraha,    FK Dukla Praha
bohemians,     Bohemians Praha 1905
boleslav,      FK Mladá Boleslav
pribram,       1. FK Příbram
plzen,         Viktoria Plzeň
liberec,       FC Slovan Liberec
jablonec,      FK Jablonec
ostrava,       FC Baník Ostrava
olomouc,       SK Sigma Olomouc
teplice,       FK Teplice
slovacko,      1. FC Slovácko
zlin,          FC Zlín
jihlava,       FC Vysočina Jihlava
brno,          FC Zbrojovka Brno
