####################################
# English League Teams
#
#  note: three letter codes (tags) taken from official premierleague.com site

Name,                 Code
Chelsea FC,           CHE
Arsenal FC,           ARS
Tottenham Hotspur,    TOT
West Ham United,      WHU
Crystal Palace,       CRY
Manchester United,    MUN
Manchester City,      MCI
Everton FC,           EVE
Liverpool FC,         LIV
West Bromwich Albion, WBA
Newcastle United,     NEW
Stoke City FC,        STK
Sunderland AFC,       SUN
Aston Villa FC,       AVL
Southampton FC,       SOU
Leicester City FC,    LEI
AFC Bournemouth,      BOU
Norwich City FC,      NOR
Watford FC,           WAT
