####################################
# English League Teams

Name,                 Wikipedia,                 Web
Chelsea FC,           Chelsea_F.C.,              www.chelseafc.com
Arsenal FC,           Arsenal_F.C.,              www.arsenal.com
Tottenham Hotspur,    Tottenham_Hotspur_F.C.,    www.tottenhamhotspur.com
West Ham United,      West_Ham_United_F.C.,      www.whufc.com
Crystal Palace,       Crystal_Palace_F.C.,       www.cpfc.co.uk
Manchester United,    Manchester_United_F.C.,    www.manutd.com
Manchester City,      Manchester_City_F.C.,      www.mcfc.co.uk
Everton FC,           Everton_F.C.,              www.evertonfc.com
Liverpool FC,         Liverpool_F.C.,            www.liverpoolfc.com
West Bromwich Albion, West_Bromwich_Albion_F.C., www.wba.co.uk
Newcastle United,     Newcastle_United_F.C.,     www.nufc.co.uk
Stoke City FC,        Stoke_City_F.C.,           www.stokecityfc.com
Sunderland AFC,       Sunderland_A.F.C.,         www.safc.com
Aston Villa,          Aston_Villa_F.C.,          www.avfc.co.uk
Southampton FC,       Southampton_F.C.,          www.saintsfc.co.uk
Leicester City,       Leicester_City_F.C.,       www.lcfc.com
AFC Bournemouth,      A.F.C._Bournemouth,        www.afcb.co.uk
Norwich City,         Norwich_City_F.C.,         www.canaries.co.uk
Watford FC,           Watford_F.C.,              www.watfordfc.com
Burnley FC,           Burnley_F.C.,              www.burnleyfootballclub.com
Hull City,            Hull_City_A.F.C.,          www.hullcitytigers.com
Queens Park Rangers,  Queens_Park_Rangers_F.C.,  www.qpr.co.uk
Fulham FC,            Fulham_F.C.,               www.fulhamfc.com
Middlesbrough FC,     Middlesbrough_F.C.,        www.mfc.co.uk
Reading FC,           Reading_F.C.,              www.readingfc.co.uk
