##########################################
# Note: use offical three letter codes from lfp.es

Name,            Code
FC Barcelona,    BAR
RCD Espanyol,    ESP
Real Madrid,     RMD
Atlético Madrid, ATL
Getafe CF,       GET
Rayo Vallecano,  RAY
Sevilla FC,      SEV
Valencia CF,     VAL
Levante UD,      LEV
Málaga CF,       MAG
Athletic Bilbao, ATH
Granada CF,      GRA
Celta Vigo,      CEL
Real Sociedad San Sebastián, RSO
Real Valladolid,     VID
Deportivo La Coruña, DEP
Betis Sevilla,       BET
SD Eibar,            ?
Sporting Gijón,      ?
UD Las Palmas,       ?

Elche CF,         ELC
UD Almería,       ALM
CA Osasuna,       OSA
Villarreal CF,    VLL
RCD Mallorca,     MLL
Real Zaragoza,    ZAR
