################################
#  France, fr

Name,                    Code
Paris SG,                PSG
SC Bastia,               SCB
Girondins de Bordeaux,   FCGB    ## todo/fix: allow four letter codes
SM Caen,                 SMC
Olympique Lyonnais,      OL
AS Saint-Étienne,        ASSE    ## todo/fix: allow four letter codes
LOSC Lille,              LOSC
FC Lorient,              FCL
Stade Rennais FC,        SRFC
EA Guingamp,             EAG
Olympique Marseille,     OM
OGC Nice,                OGCN
HSC Montpellier,         MHSC
FC Nantes,               FCN
Stade de Reims,          SDR
Toulouse FC,             TFC
ESTAC Troyes,            ESTAC    ## todo/fix: allow five letter code
Angers SCO,              SCO
Évian TG,                ETG
RC Lens,                 RCL
FC Metz,                 FCM
AC Ajaccio,              ACA
AC Arles Avignon,        ACA   ## ???
AJ Auxerre,              AJA
Stade Brestois 29,       SB29
La Berrichonne de Châteauroux, LBC
Clermont Foot 63,        CF63
US Créteil-Lusitanos,    USCL     ## todo/fix: allow four-letter codes
Dijon FCO,               DFCO
Stade Lavallois,         LAVAL
Havre AC,                HAC
AS Nancy-Lorraine,       ASNL
Chamois Niortais,        NIORT
Nîmes Olympique,         NIMES
US Orléans,              USO
FC Sochaux-Montbéliard,  FCSM 
Tours FC,                TOURS
Valenciennes FC,         VAFC
