################################
#  France, fr

Key,           Name
paris,         Paris SG
bastia,        SC Bastia
bordeaux,      Girondins de Bordeaux
caen,          SM Caen
lyon,          Olympique Lyonnais
saintetienne,  AS Saint-Étienne
lille,         OSC Lille
lorient,       FC Lorient
rennes,        Stade Rennais FC
guingamp,      EA Guingamp
marseille,     Olympique Marseille
nice,          OGC Nice
montpellier,   HSC Montpellier
nantes,        FC Nantes
reims,         Stade de Reims
toulouse,      Toulouse FC
ajacciogfc,    GFC Ajaccio
troyes,        ESTAC Troyes
angers,        Angers SCO
evian,         Évian TG
lens,          RC Lens
metz,          FC Metz
ajaccio,       AC Ajaccio
avignon,       AC Arles Avignon
auxerre,       AJ Auxerre
brest,         Stade Brestois
chateauroux,   Châteauroux
clermont,      Clermont Foot
creteil,       US Créteil-Lusitanos
dijon,         Dijon FCO
laval,         Stade Lavallois
havre,         Havre AC
nancy,         AS Nancy-Lorraine
niort,         Chamois Niortais
nimes,         Nîmes Olympique
orleans,       US Orléans
sochaux,       FC Sochaux-Montbéliard
tours,         Tours FC
valenciennes,  Valenciennes FC

