################################
#  France, fr

Name,                  Wikipedia,                    Web
Paris SG,              Paris_Saint-Germain_F.C.,     www.psg.fr
SC Bastia,             SC_Bastia,                    www.sc-bastia.net
Girondins de Bordeaux, FC_Girondins_de_Bordeaux,     www.girondins.com
SM Caen,               Stade_Malherbe_Caen,          www.smcaen.fr
Olympique Lyonnais,    Olympique_Lyonnais,           www.olweb.fr
AS Saint-Étienne,      AS_Saint-Étienne,             www.asse.fr
LOSC Lille,            Lille_OSC,                    www.losc.fr
FC Lorient,            FC_Lorient,                   www.fclweb.fr
Stade Rennais FC,      Stade_Rennais_F.C.,           www.staderennais.com
EA Guingamp,           En_Avant_de_Guingamp,         www.eaguingamp.com
Olympique Marseille,   Olympique_de_Marseille,       www.om.net
OGC Nice,              OGC_Nice,                     www.ogcnice.com
HSC Montpellier,       Montpellier_HSC,              www.mhscfoot.com
FC Nantes,             FC_Nantes,                    www.fcnantes.com 
Stade de Reims,        Stade_de_Reims,               www.stade-de-reims.com
Toulouse FC,           Toulouse_FC,                  www.tfc.info
GFC Ajaccio,           Gazélec_Ajaccio,              www.gfca-foot.com
ESTAC Troyes,          Troyes_AC,                    www.estac.fr
Angers SCO,            Angers_SCO,                   www.angers-sco.fr
Évian TG,              Evian_Thonon_Gaillard_F.C.,   www.etgfc.com
RC Lens,               RC_Lens,                      www.rclens.fr
FC Metz,               FC_Metz,                      www.fcmetz.com
AC Ajaccio,            AC_Ajaccio,                   www.ac-ajaccio.com
