Name,                 Code
AC Milan,             MIL
Internazionale,       INT
SS Lazio,             LAZ
AS Roma,              ROM
Genoa CFC,            GEN
Sampdoria Genoa,      SAM
Juventus Torino,      JUV
Torino FC,            TOR
SSC Napoli,           NAP
Atalanta Bergamo,     ATA
Chievo Verona,        CHI
ACF Fiorentina,       FIO
Udinese Calcio,       UDI
U.S. Sassuolo Calcio, SAS
US Palermo,           PAL
Empoli FC,            EMP
FC Bologna,           BOL
Cagliari Calcio,      CAG
FC Crotone,           CRO
Pescara Calcio,       PES
Parma FC,             PAR
Calcio Catania,       CAT
AS Livorno,           LIV
AC Siena,             SIE
Hellas Verona,        HEL
