##########################################
# Italy, it  [it]

Key,          Name
milan,        AC Milan
inter,        FC Internazionale Milano
lazio,        SS Lazio
roma,         AS Roma
genoa,        Genoa CFC
sampdoria,    Sampdoria Genoa
juventus,     Juventus Torino
torino,       Torino FC
napoli,       SSC Napoli
atalanta,     Atalanta Bergamo
chievoverona, Chievo Verona
fiorentina,   ACF Fiorentina
udinese,      Udinese Calcio
sassuolo,     U.S. Sassuolo Calcio
palermo,      US Palermo
empoli,       Empoli FC
bologna,      FC Bologna
cagliari,     Cagliari Calcio
crotone,      FC Crotone
pescara,      Pescara Calcio
parma,        Parma FC
catania,      Calcio Catania
livorno,      AS Livorno
siena,        AC Siena
carpi,        Carpi FC 1909
frosinone,    Frosinone Calcio
hellasverona, Hellas Verona
cesena,       AC Cesena
spal,         SPAL 2013 Ferrara
benevento,    Benevento Calcio
