###########################
#  Eredivisie

Key,          Name
ajax,         AFC Ajax
alkmaar,      AZ Alkmaar       ## Note: for now key must be at least three letters, thus, az will not work use alkmaar instead or should we use azalkmaar?
denhaag,      ADO Den Haag
feyenoord,    Feyenoord
excelsior,    SBV Excelsior
heracles,     Heracles Almelo
twente,       FC Twente
zwolle,       PEC Zwolle
groningen,    FC Groningen
utrecht,      FC Utrecht
breda,        NAC Breda
nec,          NEC Nijmegen
vitesse,      Vitesse Arnhem
degraafschap, De Graafschap
psv,          PSV Eindhoven
waalwijk,     RKC Waalwijk
willemii,     Willem II
roda,         Roda JC
venlo,        VVV-Venlo
heerenveen,   SC Heerenveen
cambuur,      SC Cambuur
