###########################
#  Eredivisie


#  Ajax|AFC Ajax
# Heracles|Heracles Almelo
# Feyenoord
# Roda|Roda JC
# Zwolle|PEC Zwolle
# PSV Eindhoven|PSV
# Vitesse
# Heerenveen|sc Heerenveen
# NEC Nijmegen|NEC
# Utrecht|FC Utrecht
# Den Haag|ADO Den Haag
# Excelsior|SBV Excelsior
# Groningen|FC Groningen
# AZ Alkmaar|AZ
# Willem II
# Twente|FC Twente
# Cambuur|SC Cambuur
# De Graafschap


ajax,         Ajax|Ajax Amsterdam,        city:amsterdam
alkmaar,      AZ Alkmaar,                 city:alkmaar      ### NB: for now key must be at least three letters, thus, az will not work use alkmaar instead or should we use azalkmaar?

denhaag,      ADO Den Haag|Den Haag
groningen,    FC Groningen|Groningen
twente,       FC Twente|Twente
utrecht,      FC Utrecht|Utrecht
zwolle,       PEC Zwolle
feyenoord,    Feyenoord|Feyenoord Rotterdam
heracles,     Heracles Almelo|Heracles
breda,        NAC Breda
nec,          NEC|NEC Nijmegen|Nijmegen Eendracht Combinatie|Nijmegen
psv,          PSV|PSV Eindhoven|Philips Sport Vereniging
waalwijk,     RKC Waalwijk|Waalwijk
roda,         Roda JC|Roda JC Kerkrade|Roda Kerkrade|Roda
heerenveen,   SC Heerenveen|Heerenveen
vitesse,      Vitesse|Vitesse Arnhem
venlo,        VVV-Venlo|Venlo
willemii,     Willem II|Willem II Tilburg

