####################################
# Romania (ROU), ro

Name,                   Code
Dinamo București,       FCD
Rapid București,        RBU
Steaua București,       SBU
CFR Cluj|CFR 1907 Cluj, CFR
U Cluj,                 UCJ
Astra Giurgiu,          AFC
Ceahlaul Piatra Neamt,  FCC
Concordia Chiajna,      CCH
CSMS Iasi,              CSI
FC Brasov,              FCB
FC Severin,             FCS
FC Vaslui,              FCV
Gaz Metan Medias,       GMM
Gloria Bistrita,        GBS
Otelul Galati,          OTG
Pandurii Tg Jiu,        PTJ
Petrolul Ploiesti,      PPL
Viitorul Constanta,     VCT
