####################################
# Romania (ROU), ro

Key,                Name
dinamobu,           Dinamo București
rapidbu,            Rapid București
steaua,             Steaua București
cfrcluj,            CFR Cluj
ucluj,              U Cluj
astra,              Astra Giurgiu
ceahlau,            Ceahlaul Piatra Neamt
chiajna,            Concordia Chiajna
iasi,               CSMS Iasi
fcbrasov,           FC Brasov
severin,            FC Severin
vaslui,             FC Vaslui
gazmetanmedias,     Gaz Metan Medias
gloriabistrita,     Gloria Bistrita
otelul,             Otelul Galati
pandurii,           Pandurii Tg Jiu
petrolul,           Petrolul Ploiesti
viitorulconstanta,  Viitorul Constanta
