#############################
# Russia (RUS), ru

Key,           Name
lokomotiv,     Lokomotiv Moscow
cskamoskva,    CSKA Moskva
dinamomoskva,  Dynamo Moscow
spartak,       Spartak Moskva
fcmoskva,      FC Moskva
torpedo,       Torpedo Moscow
zenit,         Zenit St. Petersburg
rubinkazan,    FC Rubin Kazan
amkarperm,     FC Amkar Perm
anzhi,         Anzhi Makhachkala
novosibirsk,   FC Sibir Novosibirsk
vladikavkaz,   FC Alania Vladikavkaz
samara,        PFC Krylya Sovetov Samara
arsenaltula,   Arsenal Tula
chernomorets,  Chernomorets Novorosisk
khimki,        FC Khimki
krasnodar,     FC Krasnodar
kuban,         FC Kuban
luch,          Luch Energia Vladivostok
mordovia,      Mordovia Saransk
nalchik,       Spartak Nalchik
nizhnii,       Nizhnii Novgorod
rostov,        FC Rostov
rotor,         Rotor
saturn,        Saturn
shinnik,       Shinnik
ska,           SKA-Energiia
sokol,         Sokol
terek,         Terek Grozny
tom,           Tom Tomsk
tosno,         Tosno
ufa,           Ufa Ufa
ural,          Ural Yekaterinburg
uralan,        Uralan
volga,         Volga Nizhnii Novgorod
