#########################
# Serie A 2012/13
# - 20 teams

milan,        Milan|AC Milan|Associazione Calcio Milan,    MIL,     city:milano
inter,        Internazionale|FC Internazionale Milano,    INT,  city:milano

lazio,        Lazio|SS Lazio|Società Sportiva Lazio|Lazio Roma, LAZ, city:roma
roma,         AS Roma|Associazione Sportiva Roma, ROM, city:roma

genoa,        Genoa CFC|Genoa Cricket and Football Club, GEN, city:genova
sampdoria,    Unione Calcio Sampdoria|Sampdoria Genoa, SAM, city:genova

juventus,     Juventus|Juventus Football Club|Juventus FC|Juventus Torino, JUV,  city:torino
torino,       Torino Football Club|Torino FC,  TOR, city:torino

napoli,       Napoli|SSC Napoli|Società Sportiva Calcio Napoli,   NAP,      city:napoli


atalanta,     Atalanta Bergamasca Calcio|Atalanta|Atalanta Bergamo|Atalanta BC, ATA,  city:bergamo
bologna,      Bologna|FC Bologna|Bologna Football Club 1909,  BOL, city:bologna
cagliari,     Cagliari Calcio,  CAG, city:cagliari
catania,      Calcio Catania,   CAT, city:catania
verona,       Chievo Verona|Associazione Calcio Chievo Verona, CHI, city:verona
fiorentina,   ACF Fiorentina|AC Firenze|Associazione Calcio Firenze Fiorentina, FIO, city:firenze


palermo,      Palermo|US Palermo|Unione Sportiva Città di Palermo, PAL, city:palermo
parma,        Parma FC|Parma Football Club, PAR, city:parma
pescara,      Pescara Calcio|Delfino Pescara 1936,  PES,  city:pescara

siena,        AC Siena|Associazione Calcio Siena, SIE, city:siena

udinese,      Udinese Calcio, UDI, city:udine
