########################
# United States, us

# Note: use three/two letter codes from mlssoccer.com

Name,                   Code
Los Angeles Galaxy,     LA
San Jose Earthquakes,   SJ
Seattle Sounders,       SEA
Portland Timbers,       POR
Houston Dynamo,         HOU
FC Dallas,              DAL
Real Salt Lake,         RSL
Sporting Kansas City,   SKC
Colorado Rapids,        COL
Chicago Fire,           CHI
Columbus Crew,          CLB
D.C. United,            DC
New England Revolution, NE
Philadelphia Union,     PHI
NY Red Bulls,           NY
New York City,          NYC
Orlando City,           ORL
