########################
# United States, us

Key,          Name
galaxy,       Los Angeles Galaxy
sanjose,      San Jose Earthquakes
seattle,      Seattle Sounders
portland,     Portland Timbers
houston,      Houston Dynamo
dallas,       FC Dallas
saltlake,     Real Salt Lake
kansascity,   Sporting Kansas City        # change to sportingkc - why? why not??
colorado,     Colorado Rapids
chicago,      Chicago Fire
columbus,     Columbus Crew
dcunited,     D.C. United
newengland,   New England Revolution
philadelphia, Philadelphia Union
newyork,      NY Red Bulls
nycity,       New York City FC
orlando,      Orlando City
atlanta,      Atlanta United FC
minnesota,    Minnesota United FC
lafc,         Los Angeles FC
chivasusa,    Club Deportivo Chivas US
miamifusion,  Miami Fusion
tampabay,     Tampa Bay Mutiny
