
dinamobu,           Dinamo Bucuresti,       FCD, city:bucuresti
rapidbu,            Rapid Bucuresti,        RBU, city:bucuresti
steaua,             Steaua Bucuresti,       SBU, city:bucuresti

cfr,                CFR Cluj,               CFR, city:cluj
ucluj,              U Cluj,                 UCJ, city:cluj

astra,              Astra Ploiesti,         AFC
ceahlau,            Ceahlaul Piatra Neamt,  FCC
chiajna,            Concordia Chiajna,      CCH
iasi,               CSMS Iasi,              CSI
fcbrasov,           FC Brasov,              FCB
gazmetanseverin,    FC Severin,             FCS
vaslui,             FC Vaslui,              FCV
gazmetanmedias,     Gaz Metan Medias,       GMM
gloriabistrita,     Gloria Bistrita,        GBS
otelul,             Otelul Galati,          OTG
pandurii,           Pandurii Tg Jiu,        PTJ
petrolul,           Petrolul Ploiesti,      PPL
viitorulconstanta,  Viitorul Constanta,     VCT
