#######################################
#   Primera División de Argentina

allboys,         All Boys
argentinos,      Argentinos Jrs
bocajuniors,     Boca Juniors
riverplate,      River Plate
sanlorenzo,      San Lorenzo
velez,           Vélez Sarsfield
tigre,           CA Tigre
independiente,   CA Independiente de Avellaneda
racing,          Racing Club
quilmes,         Quilmes AC
lanus,           CA Lanús
arsenalsarandi,  Arsenal de Sarandí   ## fix: use different key (conflict w/ arsenal en)
estudiantes,     Estudiantes LP
colon,           Colón Santa Fe
union,           Unión Santa Fe
newells,         Newell's Old Boys
rafaela,         Atlético Rafaela
belgrano,        Club Atlético Belgrano
godoycruz,       Godoy Cruz
sanmartin,       San Martín San Juan
